Subject,Start Date,Start Time,End Date,End Time,All day event,Description
"Paul Miki, Priest, and the Martyrs of Japan, 1597 [6] Red",2018-02-06,,,,TRUE,"Week of Proper 5 (if before Lent)
Paul Miki, Priest, and the Martyrs of Japan, 1597 [6] Red
Tuesday after Fifth Sunday after Epiphany, Green

DAILY EUCHARIST
1 Kings 8:22-23, 27-30
Psalm 84
Mark 7:1-13

DAILY PRAYER: Week A 
Genesis 26:1-6, 12-33
Hebrews 13:17-25
John 7:53 - 8:11"
Wednesday after Fifth Sunday after Epiphany,2018-02-07,,,,TRUE,"Week of Proper 5 (if before Lent)
Wednesday after Fifth Sunday after Epiphany, Green

DAILY EUCHARIST
1 Kings 10:1-10
Psalm 37:1-7, 32-33, 41-42
Mark 7:14-23

DAILY PRAYER: Week A 
Genesis 27:1-29
Romans 12:1-8
John 8:12-20"
Thursday after Fifth Sunday after Epiphany,2018-02-08,,,,TRUE,"Week of Proper 5 (if before Lent)
Thursday after Fifth Sunday after Epiphany, Green

DAILY EUCHARIST
1 Kings 11:4-13
Psalm 132:11-19
Mark 7:24-30

DAILY PRAYER: Week A 
Genesis 27:30-45
Romans 12:9-21
John 8:21-32"
Friday after Fifth Sunday after Epiphany,2018-02-09,,,,TRUE,"Week of Proper 5 (if before Lent)
Friday after Fifth Sunday after Epiphany, Green

DAILY EUCHARIST
1 Kings 11:29-32; 12:19
Psalm 81:8-16
Mark 7:31-37

DAILY PRAYER: Week A 
Genesis 27:46 - 28:4, 10-22
Romans 13:1-14
John 8:33-47"
"Scholastica, Religious, 543 [6] White",2018-02-10,,,,TRUE,"Week of Proper 5 (if before Lent)
Scholastica, Religious, 543 [6] White
Saturday after Fifth Sunday after Epiphany, Green

DAILY EUCHARIST
1 Kings 12:26-33; 13:33-34
Psalm 106:19-22
Mark 8:1-10

DAILY PRAYER: Week A 
Genesis 29:1-30
Romans 14:1-23
John 8:47-59"
Sunday before Lent (Transfiguration) [3] Green (SPB Quinquagesima - Violet),2018-02-11,,,,TRUE,"Week of Proper 6
Week of the Beginning of Lent
Sunday before Lent (Transfiguration) [3] Green
(SPB Quinquagesima - Violet)

EUCHARIST
2 Kings 2:1-12
Psalm 50:1-6
2 Corinthians 4:3-6
Mark 9:2-9

DAILY PRAYER: Week B
Numbers 22:1 - 23:12
Philippians 3:17-21
Luke 6:17-26

ALTERNATIVE PSALMS
Morning: Psalm 13
Evening: Psalm 6"
Monday after Sunday before Lent,2018-02-12,,,,TRUE,"Week of Proper 6
Week of the Beginning of Lent
Monday after Sunday before Lent, Green

DAILY EUCHARIST
1 Peter 1:3-9
Psalm 111
Mark 10:17-27

DAILY PRAYER: Week B
Proverbs 27:1-6, 10-12
Philippians 2:1-13
John 18:15-18, 25-27"
Tuesday after Sunday before Lent,2018-02-13,,,,TRUE,"Week of Proper 6
Week of the Beginning of Lent
Tuesday after Sunday before Lent, Green

DAILY EUCHARIST
1 Peter 1:10-16
Psalm 98
Mark 10:28-31

DAILY PRAYER: Week B
Proverbs 30:1-4, 24-33
Philippians 3:1-11
John 18:28-38"
Ash Wednesday [1] Violet or Lenten Array,2018-02-14,,,,TRUE,"Week of the Beginning of Lent
Ash Wednesday [1] Violet or Lenten Array

DAILY EUCHARIST
Joel 2:1-2, 12-17 or Isaiah 58:1-12
Psalm 51:1-17
2 Corinthians 5:20b - 6:10
Matthew 6:1-6, 16-21

DAILY PRAYER: Returning to God 
Amos 5:6-15
Hebrews 12:1-14
Luke 18:9-14"
"Thomas Bray, Priest and Missionary, 1730 [6] White",2018-02-15,,,,TRUE,"Week of the Beginning of Lent
Thomas Bray, Priest and Missionary, 1730 [6] White
Thursday after Ash Wednesday, Violet or Lenten Array

DAILY EUCHARIST
Deuteronomy 30:15-20
Psalm 1
Luke 9:18-25

DAILY PRAYER: Returning to God
Habakkuk 3:1-10, (11-15), 16-18
Philippians 3:3-12-21
John 17:1-8"
"Cyril, Monk, 869, and Methodius, Bishop, 885, 'Apostles of the Slavs' [6] White (translated from 14 February)",2018-02-16,,,,TRUE,"Week of the Beginning of Lent
Cyril, Monk, 869, and Methodius, Bishop, 885, 'Apostles of the Slavs' [6] White (translated from 14 February)
Friday after Ash Wednesday, Violet or Lenten Array

DAILY EUCHARIST
Isaiah 58:1-9a
Psalm 51:1-4, 17-18
Matthew 9:14-17

DAILY PRAYER: Returning to God 
Ezekiel 18:1-4, 25-32
Philippians 4:1-9
John 17:9-19"
"Finan of Lindisfarne, Bishop, 661 [6] White",2018-02-17,,,,TRUE,"Week of the Beginning of Lent
Finan of Lindisfarne, Bishop, 661 [6] White
Saturday after Ash Wednesday, Violet or Lenten Array

DAILY EUCHARIST
Isaiah 58:9b-14
Psalm 86:1-6
Luke 5:27-32

DAILY PRAYER: Returning to God 
Ezekiel 39:21-29
Philippians 4:10-20
John 17:20-26"
First Sunday of Lent [1] Violet or Lenten Array,2018-02-18,,,,TRUE,"Week of Lent 1
First Sunday of Lent [1] Violet or Lenten Array

EUCHARIST
Genesis 9:8-17
Psalm 25:1-10
1 Peter 3:18-22
Mark 1:9-15

DAILY PRAYER: Returning to God 
Genesis 2:15-17; 3:1-7
Romans 10:8b-13
Luke 13:31-35

ALTERNATIVE PSALMS
Morning: Psalm 50:1-15
Evening: Psalm 119:17-32"
"Martin Luther, 1545 [6] White",2018-02-19,,,,TRUE,"Week of Lent 1
Martin Luther, 1545 [6] White
Monday after First Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Leviticus 19:1-2, 11-18
Psalm 19:7-14
Matthew 25:1-46

DAILY PRAYER: Returning to God 
Genesis 27:1-11
1 Corinthians 1:1-19
Mark 1:1-13"
"Colman of Lindisfarne, Bishop, 767 [6] White (translated from 18 February)",2018-02-20,,,,TRUE,"Week of Lent 1
Colman of Lindisfarne, Bishop, 767 [6] White (translated from 18 February)
Tuesday after First Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Isaiah 55:10-11
Psalm 34:1-8, (15-22)
Matthew 6:7-15

DAILY PRAYER: Returning to God 
Genesis 37:12-24
1 Corinthians 1:20-31
Mark 1:14-28"
Wednesday after First Sunday of Lent (Ember Day),2018-02-21,,,,TRUE,"Week of Lent 1
Wednesday after First Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Jonah 3:1-10
Psalm 51:1-2, 11-13
Luke 11:29-32

DAILY PRAYER: Returning to God 
Genesis 37:25-36
1 Corinthians 2:1-13
Mark 1:29-45

---

EMBER DAY (Wednesday of Lent 1)
Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19"
Thursday after First Sunday of Lent,2018-02-22,,,,TRUE,"Week of Lent 1
Thursday after First Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Additions to Esther 14:1, 3-5, 12-14
Psalm 138
Matthew 7:7-12

DAILY PRAYER: Returning to God 
Genesis 39:1-23
1 Corinthians 2:14 - 3:15
Mark 2:1-12"
"Polycarp of Smyrna, Bishop and Martyr, 156 [6] Red (Ember Day)",2018-02-23,,,,TRUE,"Week of Lent 1
Polycarp of Smyrna, Bishop and Martyr, 156 [6] Red
Friday after First Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Ezekiel 18:21-28
Psalm 130
Matthew 5:20-26

DAILY PRAYER: Returning to God 
Genesis 40:1-23
1 Corinthians 3:16-23
Mark 2:13-22

---

EMBER DAY (Friday of Lent 1)
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21"
Saturday after First Sunday of Lent (Ember Day),2018-02-24,,,,TRUE,"Week of Lent 1
Saturday after First Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Deuteronomy 26:16-19
Psalm 119:1-8
Matthew 5:43-48

DAILY PRAYER: Returning to God 
Genesis 41:1-13
1 Corinthians 4:1-7
Mark 2:23 - 3:6

---

EMBER DAY (Saturday of Lent 1)
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27"
Second Sunday of Lent [1] Violet or Lenten Array,2018-02-25,,,,TRUE,"Week of Lent 2
Second Sunday of Lent [1] Violet or Lenten Array

EUCHARIST
Genesis 17:1-7, 15-16
Psalm 22:23-31
Romans 4:13-25
Mark 8:31-38 or Mark 9:2-9

DAILY PRAYER: Returning to God 
Genesis 12:1-9
Hebrews 11:1-3, 8-16
Matthew 8:1-13

ALTERNATIVE PSALMS
Morning: Psalm 135:1-14
Evening: Psalm 74"
Monday after Second Sunday of Lent,2018-02-26,,,,TRUE,"Week of Lent 2
Monday after Second Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Daniel 9:3-10
Psalm 79
Luke 6:36-38

DAILY PRAYER: Returning to God 
Genesis 41:(14-24), 25-27
1 Corinthians 4:8-20, (21)
Mark 3:7-19a"
Tuesday after Second Sunday of Lent,2018-02-27,,,,TRUE,"Week of Lent 2
Tuesday after Second Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Isaiah 1:10-20
Psalm 50:7-15
Matthew 23:1-12

DAILY PRAYER: Returning to God 
Genesis 42:1-17
1 Corinthians 5:1-8
Mark 3:19b-35"
Wednesday after Second Sunday of Lent,2018-02-28,,,,TRUE,"Week of Lent 2
Wednesday after Second Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Jeremiah 18:18-20
Psalm 31:1-5, 13-16
Matthew 20:17-28

DAILY PRAYER: Returning to God 
Genesis 42:18-28
1 Corinthians 5:9 - 6:8
Mark 4:1-20"
"David, Bishop, Patron of Wales, c.544 [6] White",2018-03-01,,,,TRUE,"Week of Lent 2
David, Bishop, Patron of Wales, c.544 [6] White
Thursday after Second Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Jeremiah 17:5-10
Psalm 1
Luke 16:19-31

DAILY PRAYER: Returning to God 
Genesis 42:29-38
1 Corinthians 6:12-20
Mark 4:21-34"
"Chad of Lichfield, Bishop, 672 [6] White",2018-03-02,,,,TRUE,"Week of Lent 2
Chad of Lichfield, Bishop, 672 [6] White
Friday after Second Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Genesis 37:3-4, 12-28
Psalm 17:1-8
Matthew 21:33-46

DAILY PRAYER: Returning to God 
Genesis 43:1-15
1 Corinthians 7:1-9
Mark 4:35-41"
"John and Charles Wesley, Priests, 1791 and 1788 [6] White",2018-03-03,,,,TRUE,"Week of Lent 2
John and Charles Wesley, Priests, 1791 and 1788 [6] White
Saturday after Second Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Micah 7:14-20
Psalm 103:1-12
Luke 15:1-3, 11-32

DAILY PRAYER: Returning to God 
Genesis 43:16-34
1 Corinthians 7:10-24
Mark 5:1-20"
Third Sunday of Lent [1] Violet or Lenten Array,2018-03-04,,,,TRUE,"Week of Lent 3
Third Sunday of Lent [1] Violet or Lenten Array

EUCHARIST
Exodus 20:1-17
Psalm 19
1 Corinthians 1:18-25
John 2:13-22

DAILY PRAYER: Returning to God 
Exodus 5:1 - 6:1
Philippians 3:4b-14
Matthew 10:16-22

ALTERNATIVE PSALMS
Morning: Psalm 40
Evening: Psalms 11 and 12"
"Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red (translated from 4 March)",2018-03-05,,,,TRUE,"Week of Lent 3
Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red (translated from 4 March)
Monday after Third Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
2 Kings 5:1-15a
Psalm 42:1-2, 11-15
Luke 4:24-30

DAILY PRAYER: Returning to God 
Genesis 44:1-17
1 Corinthians 7:25-31
Mark 5:21-43"
"Baldred, Bishop, 608 [6] White",2018-03-06,,,,TRUE,"Week of Lent 3
Baldred, Bishop, 608 [6] White
Tuesday after Third Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Song of the Three 1, 2, 11-20
Psalm 25:3-8
Matthew 18:21-35

DAILY PRAYER: Returning to God 
Genesis 44:18-34
1 Corinthians 7:32-40
Mark 6:1-13"
"Perpetua and her Companions, Martyrs, 203 [6] Red",2018-03-07,,,,TRUE,"Week of Lent 3
Perpetua and her Companions, Martyrs, 203 [6] Red
Wednesday after Third Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Deuteronomy 4:1, 5-10
Psalm 147:13-21
Matthew 5:17-20

DAILY PRAYER: Returning to God 
Genesis 45:1-15, (16-28)
1 Corinthians 8:1-13
Mark 6:13-29"
"Duthac, Bishop, 1068 [6] White",2018-03-08,,,,TRUE,"Week of Lent 3
Duthac, Bishop, 1068 [6] White
Thursday after Third Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Jeremiah 7:21-28
Psalm 95:1-9
Luke 11:14-23

DAILY PRAYER: Returning to God 
Genesis 46:1-7, 28-34
1 Corinthians 9:1-15
Mark 6:30-46"
Friday after Third Sunday of Lent,2018-03-09,,,,TRUE,"Week of Lent 3
Friday after Third Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Hosea 14:1-9
Psalm 81
Mark 12:28-34

DAILY PRAYER: Returning to God 
Genesis 47:1-26, (27-31)
1 Corinthians 9:16-27
Mark 6:47-56"
"Kessog, Bishop, c.700 [6] Red",2018-03-10,,,,TRUE,"Week of Lent 3
Kessog, Bishop, c.700 [6] Red
Saturday after Third Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Hosea 5:13 - 6:6
Psalm 51:1-2, 17-20
Luke 18:9-14

DAILY PRAYER: Returning to God 
Genesis 48:(1-7), 8-22
1 Corinthians 10:1-13
Mark 7:1-23"
Fourth Sunday of Lent [1] Violet or Lenten Array (Mothering Sunday),2018-03-11,,,,TRUE,"Week of Lent 4
Fourth Sunday of Lent [1] Violet or Lenten Array (Mothering Sunday)

DAILY EUCHARIST
Numbers 21:4-9
Psalm 107:1-3, 17-22
Ephesians 2:1-10
John 3:14-21

DAILY PRAYER: Returning to God 
Exodus 6:2-13
Romans 5:1-11
John 12:1-8

ALTERNATIVE PSALMS
Morning: Psalm 31:1-8, (9-16)
Evening: Psalms 13 and 14

---

Mothering Sunday
Exodus 2:1-10 or 1 Samuel 1:20-28
Psalm 34 or Psalm 127:1-4
2 Corinthians 1:3-7 or Colossians 3:12-17
Luke 2:33-35 or John 19:25-27"
Monday after Fourth Sunday of Lent,2018-03-12,,,,TRUE,"Week of Lent 4
Monday after Fourth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Isaiah 65:17-21
Psalm 30
John 4:43-54

DAILY PRAYER: Returning to God 
Genesis 49:1-28
1 Corinthians 10:14 - 11:1
Mark 7:24-37"
Tuesday after Fourth Sunday of Lent,2018-03-13,,,,TRUE,"Week of Lent 4
Tuesday after Fourth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Ezekiel 47:1-9, 12
Psalm 46
John 5:1-18

DAILY PRAYER: Returning to God 
Genesis 49:29 - 50:14
1 Corinthians 11:17-34
Mark 8:1-10"
Wednesday after Fourth Sunday of Lent,2018-03-14,,,,TRUE,"Week of Lent 4
Wednesday after Fourth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Isaiah 49:8-15
Psalm 145:8-15
John 5:19-30

DAILY PRAYER: Returning to God 
Genesis 50:15-26
1 Corinthians 12:1-11
Mark 8:11-26"
Thursday after Fourth Sunday of Lent,2018-03-15,,,,TRUE,"Week of Lent 4
Thursday after Fourth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Exodus 32:7-14
Psalm 103:1-12
John 5:31-47

DAILY PRAYER: Returning to God 
Exodus 1:6-22
1 Corinthians 12:12-26
Mark 8:27 - 9:1"
"Boniface of Ross, Bishop, 8th century [6] White",2018-03-16,,,,TRUE,"Week of Lent 4
Boniface of Ross, Bishop, 8th century [6] White
Friday after Fourth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Wisdom of Solomon 2:1a, 12-22
Psalm 34:15-22
John 7:1-2, 10, 25-30

DAILY PRAYER: Returning to God 
Exodus 2:1-22
1 Corinthians 12:27 - 13:3
Mark 9:2-13"
"Patrick, Bishop, Patron of Ireland, 461 [4] White",2018-03-17,,,,TRUE,"Patrick, Bishop, Patron of Ireland, 461 [4] White

EUCHARIST
Ezekiel 34:11-16
Psalm 96
1 Thessalonians 2:2-12 or 1 Corinthians 1:18-25
Matthew 28:16-20 or Luke 22:24-30

MORNING PRAYER: Festivals
Isaiah 8:19 - 9:2
Acts 16:6-10

EVENING PRAYER: Festivals
Isaiah 42:1-17
Luke 10:1-20

---

Week of Lent 4
Saturday after Fourth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Jeremiah 11:18-20
Psalm 7:1-2, 9-12
John 7:40-53

DAILY PRAYER: Returning to God 
Exodus 3:1-22
1 Corinthians 13:1-13
Mark 9:14-29"
Fifth Sunday of Lent (Passion Sunday: The beginning of Passiontide) [1] Violet or Lenten Array,2018-03-18,,,,TRUE,"Week of Lent 5
Fifth Sunday of Lent (Passion Sunday: The beginning of Passiontide) [1] Violet or Lenten Array

EUCHARIST
Jeremiah 31:31-34
Psalm 51:1-12 or Psalm 119:9-16
Hebrews 5:5-10
John 12:20-33

DAILY PRAYER: Returning to God 
Exodus 7:8-24
Romans 5:12-21
Luke 22:1-13

ALTERNATIVE PSALMS
Morning: Psalm 30
Evening: Psalm 34"
Joseph of Nazareth [4] White,2018-03-19,,,,TRUE,"Joseph of Nazareth [4] White

EUCHARIST
2 Samuel 7:4-16
Psalm 89:1-4, 26-29, (30-36)
Romans 4:13-18
Luke 2:41-52 or Matthew 1:18-25

MORNING PRAYER: Festivals
Isaiah 63:7-16
Matthew 1:18-25

EVENING PRAYER: Festivals
2 Chronicles 6:12-17
Ephesians 3:14-21

---

Week of Lent 5
Monday after Fifth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Susanna 1:1-9, 15-17, 19-30, 33-62 or Susanna 1:41c-62
Psalm 23
John 8:1-11

DAILY PRAYER: Returning to God 
Exodus 4:1-20, (21-31)
1 Corinthians 14:1-19
Mark 9:30-41
"
"Cuthbert, Bishop, 687 [6] White",2018-03-20,,,,TRUE,"Week of Lent 5
Cuthbert, Bishop, 687 [6] White
Tuesday after Fifth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Numbers 21:4-9
Psalm 102:1-2, 15-22
John 8:21-30

DAILY PRAYER: Returning to God 
Exodus 5:1 - 6:1
1 Corinthians 14:20-33a, 39-40
Mark 9:42-50"
"Thomas Cranmer, Bishop, 1556 [6] Red",2018-03-21,,,,TRUE,"Week of Lent 5
Thomas Cranmer, Bishop, 1556 [6] Red
Wednesday after Fifth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Daniel 3:13-28
Psalm 24:1-6
John 8:31-47

DAILY PRAYER: Returning to God 
Exodus 7:8-24
2 Corinthians 2:14 - 3:6
Mark 10:1-16"
"Thomas Ken, Bishop, 1711 [6] White",2018-03-22,,,,TRUE,"Week of Lent 5
Thomas Ken, Bishop, 1711 [6] White
Thursday after Fifth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Genesis 17:3-9
Psalm 105:1-9
John 8:51-59

DAILY PRAYER: Returning to God 
Exodus 7:25 - 8:19
2 Corinthians 3:7-18
Mark 10:17-31"
"Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White (translated from 18 March)",2018-03-23,,,,TRUE,"Week of Lent 5
Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White (translated from 18 March)
Friday after Fifth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Jeremiah 20:7-13
Psalm 18:1-7
John 10:31-42

DAILY PRAYER: Returning to God 
Exodus 9:13-35
2 Corinthians 4:1-12
Mark 10:32-45"
"Paul Couturier, Priest, 1953 [6] White",2018-03-24,,,,TRUE,"Week of Lent 5
Paul Couturier, Priest, 1953 [6] White
Saturday after Fifth Sunday of Lent, Violet or Lenten Array

DAILY EUCHARIST
Ezekiel 37:21b-28
Psalm 121
John 11:45-57

DAILY PRAYER: Returning to God 
Exodus 10:21 - 11:8
2 Corinthians 4:13-18
Mark 10:46-52"
The Sunday of the Passion (Palm Sunday: The beginning of Holy Week) [1] Red or Violet,2018-03-25,,,,TRUE,"Holy Week (Week of Lent 6)
The Sunday of the Passion (Palm Sunday: The beginning of Holy Week) [1] Red or Violet

EUCHARIST
Liturgy of the Palms
Mark 11:1-11 or John 12:12-16
Psalm 118:1-2, 19-29

Liturgy of the Passion
Isaiah 50:4-9a
Psalm 31:9-16
Philippians 2:5-11
Mark 14:1 - 15:47 or Mark 15:1-39, (40-47)

MORNING PRAYER: The Suffering Christ 
Zechariah 9:9-12
1 Timothy 6:12-16

EVENING PRAYER: The Suffering Christ 
Zechariah 12:9-11; 13:1, 7-9
Luke 19:41-48"
Monday of Holy Week [1] Red or Violet,2018-03-26,,,,TRUE,"Holy Week (Week of Lent 6)
Monday of Holy Week [1] Red or Violet

DAILY EUCHARIST
Isaiah 42:1-9
Psalm 36:5-11
Hebrews 9:11-15
John 12:1-11

DAILY PRAYER: The Suffering Christ 
Lamentations 1:1-2, 6-12
2 Corinthians 1:1-7
Mark 11:12-25"
Tuesday of Holy Week [1] Red or Violet,2018-03-27,,,,TRUE,"Holy Week (Week of Lent 6)
Tuesday of Holy Week [1] Red or Violet

DAILY EUCHARIST
Isaiah 49:1-7
Psalm 71:1-14
1 Corinthians 1:18-31
John 12:20-36

DAILY PRAYER: The Suffering Christ 
Lamentations 1:17-22
2 Corinthians 1:8-22
Mark 11:27-33"
Wednesday of Holy Week [1] Red or Violet,2018-03-28,,,,TRUE,"Holy Week (Week of Lent 6)
Wednesday of Holy Week [1] Red or Violet

DAILY EUCHARIST
Isaiah 50:4-9a
Psalm 70
Hebrews 12:1-3
John 13:21-32

DAILY PRAYER: The Suffering Christ 
Lamentations 2:1-9
2 Corinthians 1:23 - 2:11
Mark 12:1-11"
Maundy Thursday [1] White at the Eucharist,2018-03-29,,,,TRUE,"Holy Week (Week of Lent 6)
Maundy Thursday [1] White at the Eucharist

EUCHARIST
Exodus 12:1-4, (5-10), 11-14
Psalm 116:1-2, 12-19
1 Corinthians 11:23-26
John 13:1-17, 31b-35

DAILY PRAYER: The Suffering Christ 
Lamentations 2:10-18
1 Corinthians 10:14-17; 11:27-32
Mark 14:12-25"
Good Friday [1] Red for the Liturgy; Hangings removed,2018-03-30,,,,TRUE,"Holy Week (Week of Lent 6)
Good Friday [1] Red for the Liturgy; Hangings removed

HOLY COMMUNION
Isaiah 52:13 - 53:12
Psalm 22
Hebrews 10:16-25 or Hebrews 4:14-16; 5:7-9
John 18:1 - 19:42

DAILY PRAYER: The Suffering Christ 
Lamentations 3:1-9, 19-33
1 Peter 1:10-20
Morning: John 13:36-38
Evening: John 19:38-42
"
Holy Saturday (Easter Eve) [1] Hangings removed; White at the Easter Vigil,2018-03-31,,,,TRUE,"Holy Week (Week of Lent 6)
Holy Saturday (Easter Eve) [1] Hangings removed; White at the Easter Vigil

At services other than the Easter Vigil:
Job 14:1-14 or Lamentations 3:1-9, 19-24
Psalm 31:1-4, 15-16
1 Peter 4:1-8
Matthew 27:57-66 or John 19:38-42

DAILY PRAYER: The Suffering Christ 
Job 19:21-27a
Morning: Hebrews 4:1-16
Evening: Romans 8:1-11

---

Easter Vigil
A minimum of three Old Testament readings (with their psalm or canticle) should be chosen. The reading from Exodus 14 should always be used.
Genesis 1:1-2:4a / Psalm 136:1-9, 23-26
Genesis 7:1-5,11-18; 8:6-18; 9:8-13 / Psalm 46
Genesis 22:1-18 / Psalm 16
Exodus 14:10-31; 15:20-21 / Canticle: Exodus 15:1b-13, 17-18
Isaiah 55:1-11 / Canticle: Isaiah 12:2-6
Baruch 3:9-15, 32 - 4:4 or Proverbs 8:1-8, 19-21; 9:4b-6 / Psalm 19
Ezekiel 36:24-28 / Psalms 42 and 43
Ezekiel 37:1-14 / Psalm 143
Zephaniah 3:14-20 / Psalm 98

New Testament reading
Romans 6:3-11
Gradual Psalm: Psalm 114
Gospel (Year B): Mark 16:1-8"
Easter Day [1] White,2018-04-01,,,,TRUE,"Week of Easter
Easter Day [1] White

EUCHARIST
Acts 10:34-43 or Isaiah 25:6-9
Psalm 118:1-2, 14-24
Colossians 3:1-4 or Acts 10:34-43
John 20:1-8 or Mark 16:1-8

The following readings are for occasions when the main (eucharistic) Easter service must be late in the day. They are not intended for Evening Prayer on Easter Day.

Isaiah 25:6-9
Psalm 114
1 Corinthians 5:6b-8
Luke 24:13-49

DAILY PRAYER: New Life: The Lord
Ezekiel 37:1-14
1 Corinthians 15:1-11
Luke 24:13-35

ALTERNATIVE PSALMS
Morning: Psalms 114 and 117
Evening: Psalm 66"
Monday of Easter week,2018-04-02,,,,TRUE,"Week of Easter
Monday of Easter week, White

DAILY EUCHARIST
Acts 2:14, 22-32
Psalm 16:1, 5-11
Matthew 28:8-15

DAILY PRAYER: New Life: The Lord
Exodus 12:1-20
1 Corinthians 15:1-11
Mark 16:1-8"
Tuesday of Easter week,2018-04-03,,,,TRUE,"Week of Easter
Tuesday of Easter week

DAILY EUCHARIST, White
Acts 2:14, 36-41
Psalm 33:1-5, 18-22
John 20:11-18

DAILY PRAYER: New Life: The Lord
Exodus 12:21-39
1 Corinthians 15:12-28
Mark 16:9-20"
Wednesday of Easter week,2018-04-04,,,,TRUE,"Week of Easter
Wednesday of Easter week

DAILY EUCHARIST, White
Acts 3:1-10
Psalm 105:1-9
Luke 24:13-35

DAILY PRAYER: New Life: The Lord
Exodus 12:40-51
1 Corinthians 15:(29), 30-41
Matthew 28:1-16"
Thursday of Easter week,2018-04-05,,,,TRUE,"Week of Easter
Thursday of Easter week

DAILY EUCHARIST, White
Acts 3:11-26
Psalm 8 or 114
Luke 24:36b-48

DAILY PRAYER: New Life: The Lord
Exodus 13:1-16
1 Corinthians 15:41-50
Matthew 28:16-20"
Friday of Easter week,2018-04-06,,,,TRUE,"Week of Easter
Friday of Easter week

DAILY EUCHARIST, White
Acts 4:1-12
Psalm 116:1-8
John 21:1-14

DAILY PRAYER: New Life: The Lord
Exodus 13:17 - 14:4
1 Corinthians 15:51-58
Luke 24:1-12"
Saturday of Easter week,2018-04-07,,,,TRUE,"Week of Easter
Saturday of Easter week

DAILY EUCHARIST, White
Acts 4:13-21
Psalm 118:1-4, 22-29
Mark 16:9-15

DAILY PRAYER: New Life: The Lord
Exodus 14:5-22
2 Corinthians 4:16 - 5:10
Mark 12:18-27"
Second Sunday of Easter [1] White; SPB First Sunday after Easter,2018-04-08,,,,TRUE,"Week of Easter 2
Second Sunday of Easter [1] White
SPB First Sunday after Easter

EUCHARIST
Acts 4:32-35
Psalm 133
1 John 1:1 - 2:2
John 20:19-31

MORNING PRAYER: New Life: The Lord
Isaiah 26:1-9, 19
Romans 4:13-25
Luke 24:1-12

EVENING PRAYER: Festivals
(Evening before The Annunciation of the Lord)
Genesis 3:1-15
Romans 5:12-21 or Galatians 4:1-7

ALTERNATIVE PSALMS
Morning: Psalm 30:1-5
Evening: Psalm 143:1-11"
The Annunciation of the Lord [2] White,2018-04-09,,,,TRUE,"The Annunciation of the Lord [2] White

EUCHARIST
Isaiah 7:10-14
Psalm 40:5-10 or Psalm 45
Hebrews 10:4-10
Luke 1:26-38

MORNING PRAYER: Festivals
Isaiah 52:7-12
Hebrews 2:5-10

EVENING PRAYER: Festivals
Wisdom of Solomon 9:1-12
John 1:9-14

---

Week of Easter 2
Monday after Second Sunday of Easter, White

DAILY EUCHARIST
Acts 4:23-31
Psalm 2
John 3:1-8

DAILY PRAYER: New Life: The Lord
Exodus 14:21-31
1 Peter 1:1-12
John 14:(1-7), 8-17"
