,Start date,SUBJECT,DESCRIPTION,
Saturday,2025-03-08,"Duthac, Bishop, 1068 [6] White","Saturday 8 March 2025

Duthac, Bishop, 1068 [6] White
Saturday after Ash Wednesday (Violet)
Week of the Beginning of Lent
Year C/1

DAILY EUCHARIST
Isaiah 58:9b-14
Psalm 86:1-6
Luke 5:27-32

DAILY PRAYER: Returning to God 
Deuteronomy 7:17-26
Titus 3:1-15
John 1:43-51

COLLECT (Ash Wednesday)
O Lord, 
grant that your faithful people 
may enter this season of penitence with faithfulness, 
and complete it with steadfast devotion; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

COLLECT (Weekdays after Ash Wednesday)
Either the Collect for Ash Wednesday or this may be used on the weekdays after Ash Wednesday. If the Collect for Ash Wednesday is used, this collect may be used as the Prayer after Communion as an alternative to the Prayers in section 24 of the Scottish Liturgy 1982. This Collect may also be used as the Prayer after Communion throughout Lent until Maundy Thursday.

Almighty God, 
you hate nothing that you have made, 
and forgive the sins of all who are penitent: 
create in us a clean and contrite heart; 
that, in lamenting our sinfulness, 
we may receive from you, the God of all mercy, 
forgiveness and perfect peace; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, one God, world without end.",
Sunday,2025-03-09,First Sunday of Lent [1] Violet or Lenten Array,"Sunday 9 March 2025

First Sunday of Lent [1] Violet or Lenten Array
Week of Lent 1
Year C/1

EUCHARIST
Deuteronomy 26:1-11
Psalm 91:1-2, 9-16
Romans 10:8b-13
Luke 4:1-13

DAILY PRAYER: Returning to God 
Deuteronomy 6:4-9, 16-25
Romans 5:12-19
Luke 15:1-10

ALTERNATIVE PSALMS
Morning: Psalm 50:1-15
Evening: Psalm 119:17-32

COLLECT (Lent 1)
Almighty God, 
whose Son fasted forty days in the wilderness, 
and was tempted as we are, yet did not sin: 
give us grace to discipline ourselves in submission to your Spirit,
that, as you know our weakness, 
so we may know your power to save; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-03-10,"Kessog, Bishop, c.700 [6] Red","Monday 10 March 2025

Kessog, Bishop, c.700 [6] Red
Monday after First Sunday of Lent (Violet)
Week of Lent 1
Year C/1

DAILY EUCHARIST (Violet or Lenten Array)
Leviticus 19:1-2, 11-18
Psalm 19:7-14
Matthew 25:1-46

DAILY PRAYER: Returning to God 
Deuteronomy 8:1-20 
Hebrews 2:11-18
John 2:1-12

COLLECT (Lent 1)
Almighty God, 
whose Son fasted forty days in the wilderness, 
and was tempted as we are, yet did not sin: 
give us grace to discipline ourselves in submission to your Spirit,
that, as you know our weakness, 
so we may know your power to save; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-03-11,Tuesday after First Sunday of Lent,"Tuesday 11 March 2025

Tuesday after First Sunday of Lent (Violet)
Week of Lent 1
Year C/1

DAILY EUCHARIST (Violet or Lenten Array)
Isaiah 55:10-11
Psalm 34:1-8, (15-22)
Matthew 6:7-15

DAILY PRAYER: Returning to God 
Deuteronomy 9:4-12
Hebrews 3:1-11
John 2:13-22

COLLECT (Lent 1)
Almighty God, 
whose Son fasted forty days in the wilderness, 
and was tempted as we are, yet did not sin: 
give us grace to discipline ourselves in submission to your Spirit,
that, as you know our weakness, 
so we may know your power to save; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-03-12,Wednesday after First Sunday of Lent (Ember day),"Wednesday 12 March 2025

Wednesday after First Sunday of Lent (Violet)
Ember day
Week of Lent 1
Year C/1

DAILY EUCHARIST (Violet or Lenten Array)
Jonah 3:1-10
Psalm 51:1-2, 11-13
Luke 11:29-32

DAILY PRAYER: Returning to God 
Deuteronomy 9:13-21
Hebrews 3:12-19
John 2:23 - 3:15

EMBER DAY READINGS
Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19

COLLECT (Lent 1)
Almighty God, 
whose Son fasted forty days in the wilderness, 
and was tempted as we are, yet did not sin: 
give us grace to discipline ourselves in submission to your Spirit,
that, as you know our weakness, 
so we may know your power to save; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-03-13,Thursday after First Sunday of Lent,"Thursday 13 March 2025

Thursday after First Sunday of Lent (Violet)
Week of Lent 1
Year C/1

DAILY EUCHARIST (Violet or Lenten Array)
Additions to Esther 14:1, 3-5, 12-14
Psalm 138
Matthew 7:7-12

DAILY PRAYER: Returning to God 
Deuteronomy 9:23 - 10:5
Hebrews 4:1-10
John 3:16-21

COLLECT (Lent 1)
Almighty God, 
whose Son fasted forty days in the wilderness, 
and was tempted as we are, yet did not sin: 
give us grace to discipline ourselves in submission to your Spirit,
that, as you know our weakness, 
so we may know your power to save; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-03-14,Friday after First Sunday of Lent (Ember day),"Friday 14 March 2025

Friday after First Sunday of Lent (Violet)
Ember day
Week of Lent 1
Year C/1

DAILY EUCHARIST (Violet or Lenten Array)
Ezekiel 18:21-28
Psalm 130
Matthew 5:20-26

DAILY PRAYER: Returning to God 
Deuteronomy 10:12-22
Hebrews 4:11-16
John 3:22-36

EMBER DAY READINGS
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21

COLLECT (Lent 1)
Almighty God, 
whose Son fasted forty days in the wilderness, 
and was tempted as we are, yet did not sin: 
give us grace to discipline ourselves in submission to your Spirit,
that, as you know our weakness, 
so we may know your power to save; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-03-15,Saturday after First Sunday of Lent (Ember day),"Saturday 15 March 2025

Saturday after First Sunday of Lent (Violet)
Ember day
Week of Lent 1
Year C/1

DAILY EUCHARIST (Violet or Lenten Array)
Deuteronomy 26:16-19
Psalm 119:1-8
Matthew 5:43-48

DAILY PRAYER: Returning to God 
Deuteronomy 11:18-28
Hebrews 5:1-10
John 4:1-26

EMBER DAY READINGS
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27

COLLECT (Lent 1)
Almighty God, 
whose Son fasted forty days in the wilderness, 
and was tempted as we are, yet did not sin: 
give us grace to discipline ourselves in submission to your Spirit,
that, as you know our weakness, 
so we may know your power to save; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-03-16,Second Sunday of Lent [1] (Transfiguration if not kept on 2 March) Violet or Lenten Array,"Sunday 16 March 2025

Second Sunday of Lent (Transfiguration) [1] Violet or Lenten Array
Transfiguration (if not kept on 2 March)
Week of Lent 2
Year C/1

EUCHARIST (Transfiguration)
Exodus 34:29-35
Psalm 99
2 Corinthians 3:12 - 4:2
Luke 9:28-36, (37-43)

COLLECT (Transfiguration Sunday)
This collect is to be used when the Sunday before Lent is kept as Transfiguration Sunday. Otherwise see the numbered Proper which corresponds most closely to the date of the Sunday before Ash Wednesday.

Almighty God, 
whose Son, Jesus Christ, was wonderfully transfigured 
before chosen witnesses upon the holy mountain, 
and spoke of the exodus he would accomplish at Jerusalem: 
give us strength so to hear his voice and bear our cross, 
that, in the world to come, we may see him as he is;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.

---

Second Sunday of Lent [1] Violet or Lenten Array
Week of Lent 2
Year C/1

EUCHARIST (Lent 2)
Genesis 15:1-12, 17-18
Psalm 27
Philippians 3:17 - 4:1
Luke 13:31-35 or Luke 9:28-36

DAILY PRAYER: Returning to God 
Numbers 21:4-9
Galatians 3:1-9, 23-29
Luke 14:27-33

ALTERNATIVE PSALMS
Morning: Psalm 135:1-14
Evening: Psalm 74

COLLECT (Lent 2)
O God, 
you see that we lack the strength to help ourselves: 
protect us both inwardly and outwardly; 
that our bodies may be guarded from adversity, 
and our minds may be defended from such thoughts 
as assault and harm the soul; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-03-17,"Patrick, Bishop, Patron of Ireland, c.461 [4] White","Monday 17 March 2025

Patrick, Bishop, Patron of Ireland, c.461 [4] White
Week of Lent 2
Year C/1

EUCHARIST
Ezekiel 34:11-16
Psalm 96
1 Thessalonians 2:2-12 or 1 Corinthians 1:18-25
Matthew 28:16-20 or Luke 22:24-30

MORNING PRAYER: Festivals
Isaiah 8:19 - 9:2
Acts 16:6-10

EVENING PRAYER: Festivals
Isaiah 42:1-17
Luke 10:1-20

COLLECT (Patrick)
Almighty and everlasting God, 
who chose your servant Patrick to be the apostle of Ireland:
grant that we, like him, may walk in the light of your gospel, 
as heralds and evangelists of your kingdom;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Monday after Second Sunday of Lent (Violet)
Week of Lent 2
Year C/1

DAILY EUCHARIST
Daniel 9:3-10
Psalm 79
Luke 6:36-38

DAILY PRAYER: Returning to God 
Jeremiah 1:(1-10), 11-19
Romans 1:1-15
John 4:27-42

COLLECT (Lent 2)
O God, 
you see that we lack the strength to help ourselves: 
protect us both inwardly and outwardly; 
that our bodies may be guarded from adversity, 
and our minds may be defended from such thoughts 
as assault and harm the soul; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-03-18,"Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White","Tuesday 18 March 2025

Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White
Tuesday after Second Sunday of Lent (Violet)
Week of Lent 2
Year C/1

DAILY EUCHARIST
Isaiah 1:10-20
Psalm 50:7-15
Matthew 23:1-12

DAILY PRAYER: Returning to God 
Jeremiah 2:1-13
Romans 1:16-25, (26-27)
John 4:43-54

COLLECT (Lent 2)
O God, 
you see that we lack the strength to help ourselves: 
protect us both inwardly and outwardly; 
that our bodies may be guarded from adversity, 
and our minds may be defended from such thoughts 
as assault and harm the soul; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-03-19,Joseph of Nazareth [4] White,"Wednesday 19 March 2025

Joseph of Nazareth [4] White
Week of Lent 2
Year C/1

EUCHARIST
2 Samuel 7:4-16
Psalm 89:1-4, 26-29, (30-36)
Romans 4:13-18
Luke 2:41-52 or Matthew 1:18-25

MORNING PRAYER: Festivals
Isaiah 63:7-16
Matthew 1:18-25

EVENING PRAYER: Festivals
2 Chronicles 6:12-17
Ephesians 3:14-21

COLLECT (Joseph)
O God our Father, 
who, from the family of your servant David, 
raised up Joseph the carpenter 
to be the guardian of your incarnate Son: 
give us grace to follow his example 
of faithful obedience to your will;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Wednesday after Second Sunday of Lent (Violet)
Week of Lent 2
Year C/1

DAILY EUCHARIST
Jeremiah 18:18-20
Psalm 31:1-5, 13-16
Matthew 20:17-28

DAILY PRAYER: Returning to God 
Jeremiah 3:6-18
Romans 1:28 - 2:11
John 5:1-18

COLLECT (Lent 2)
O God, 
you see that we lack the strength to help ourselves: 
protect us both inwardly and outwardly; 
that our bodies may be guarded from adversity, 
and our minds may be defended from such thoughts 
as assault and harm the soul; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-03-20,"Cuthbert, Bishop, 687 [6] White","Thursday 20 March 2025

Cuthbert, Bishop, 687 [6] White
Thursday after Second Sunday of Lent (Violet)
Week of Lent 2
Year C/1

DAILY EUCHARIST
Jeremiah 17:5-10
Psalm 1
Luke 16:19-31

DAILY PRAYER: Returning to God 
Jeremiah 4:9-10, 19-28
Romans 2:12-24
John 5:19-29

COLLECT (Lent 2)
O God, 
you see that we lack the strength to help ourselves: 
protect us both inwardly and outwardly; 
that our bodies may be guarded from adversity, 
and our minds may be defended from such thoughts 
as assault and harm the soul; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-03-21,"Thomas Cranmer, Bishop, 1556 [6] Red","Friday 21 March 2025

Thomas Cranmer, Bishop, 1556 [6] Red
Friday after Second Sunday of Lent (Violet)
Week of Lent 2
Year C/1

DAILY EUCHARIST
Genesis 37:3-4, 12-28
Psalm 17:1-8
Matthew 21:33-46

DAILY PRAYER: Returning to God 
Jeremiah 5:1-9, 20-31
Romans 2:25 - 3:18
John 5:30-47

COLLECT (Lent 2)
O God, 
you see that we lack the strength to help ourselves: 
protect us both inwardly and outwardly; 
that our bodies may be guarded from adversity, 
and our minds may be defended from such thoughts 
as assault and harm the soul; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-03-22,"Thomas Ken, Bishop, 1711 [6] White","Saturday 22 March 2025

Thomas Ken, Bishop, 1711 [6] White
Saturday after Second Sunday of Lent (Violet)
Week of Lent 2
Year C/1

DAILY EUCHARIST
Micah 7:14-20
Psalm 103:1-12
Luke 15:1-3, 11-32

DAILY PRAYER: Returning to God 
Jeremiah 6:9-15
Romans 3:19-31
John 7:1-13

COLLECT (Lent 2)
O God, 
you see that we lack the strength to help ourselves: 
protect us both inwardly and outwardly; 
that our bodies may be guarded from adversity, 
and our minds may be defended from such thoughts 
as assault and harm the soul; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-03-23,Third Sunday of Lent [1] Violet or Lenten Array,"Sunday 23 March 2025

Third Sunday of Lent [1] Violet or Lenten Array
Week of Lent 3
Year C/1

EUCHARIST
Isaiah 55:1-9
Psalm 63:1-8
1 Corinthians 10:1-13
Luke 13:1-9

DAILY PRAYER: Returning to God 
Joshua 1:1-9
Ephesians 6:10-20
John 2:13-22

ALTERNATIVE PSALMS
Morning: Psalm 40
Evening: Psalms 11 and 12

COLLECT (Lent 3)
Merciful Father,
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-03-24,"Paul Couturier, Priest, 1953 [6] White","Monday 24 March 2025

Paul Couturier, Priest, 1953 [6] White
Monday after Third Sunday of Lent (Violet)
Week of Lent 3
Year C/1

DAILY EUCHARIST
2 Kings 5:1-15a
Psalm 42:1-2, 11-15
Luke 4:24-30

MORNING PRAYER: Returning to God 
Jeremiah 7:1-15
Romans 4:1-12
John 7:14-36

COLLECT (Lent 3)
Merciful Father,
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

Evening before The Annunciation of the Lord [2] White

EVENING PRAYER: Festivals
Genesis 3:1-15
Romans 5:12-21 or Galatians 4:1-7

COLLECT (The Annunciation)
Pour your grace into our hearts, O Lord:
that, as we have known the incarnation of your Son Jesus Christ
by the message of an angel to the Blessed Virgin Mary;
so by his cross and passion
we may be brought to the glory of his resurrection;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Tuesday,2025-03-25,The Annunciation of the Lord [2] White,"Tuesday 25 March 2025

The Annunciation of the Lord [2] White
Week of Lent 3 (Violet)
Year C/1

EUCHARIST
Isaiah 7:10-14
Psalm 40:5-10 or Psalm 45
Hebrews 10:4-10
Luke 1:26-38

MORNING PRAYER: Festivals
Isaiah 52:7-12
Hebrews 2:5-10

EVENING PRAYER: Festivals
Wisdom of Solomon 9:1-12
John 1:9-14

COLLECT (The Annunciation)
Pour your grace into our hearts, O Lord:
that, as we have known the incarnation of your Son Jesus Christ
by the message of an angel to the Blessed Virgin Mary;
so by his cross and passion
we may be brought to the glory of his resurrection;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Wednesday,2025-03-26,Wednesday after Third Sunday of Lent,"Wednesday 26 March 2025

Wednesday after Third Sunday of Lent (Violet)
Week of Lent 3
Year C/1

DAILY EUCHARIST
Deuteronomy 4:1, 5-10
Psalm 147:13-21
Matthew 5:17-20

DAILY PRAYER: Returning to God 
Jeremiah 8:18 - 9:6
Romans 5:1-11
John 8:12-20

COLLECT (Lent 3)
Merciful Father,
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-03-27,Thursday after Third Sunday of Lent,"Thursday 27 March 2025

Thursday after Third Sunday of Lent (Violet)
Week of Lent 3
Year C/1

DAILY EUCHARIST
Jeremiah 7:21-28
Psalm 95:1-9
Luke 11:14-23

DAILY PRAYER: Returning to God 
Jeremiah 10:11-24
Romans 5:12-21
John 8:21-32

COLLECT (Lent 3)
Merciful Father,
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-03-28,"Patrick Forbes, Bishop, 1635, and the Aberdeen Doctors, Teachers of the Faith [6] White","Friday 28 March 2025

Patrick Forbes, Bishop, 1635, and the Aberdeen Doctors, Teachers of the Faith [6] White
Friday after Third Sunday of Lent (Violet)
Week of Lent 3
Year C/1

DAILY EUCHARIST
Hosea 14:1-9
Psalm 81
Mark 12:28-34

DAILY PRAYER: Returning to God 
Jeremiah 11:1-8, 14-20
Romans 6:1-11
John 8:33-47

COLLECT (Lent 3)
Merciful Father,
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-03-29,"John Keble, Priest, 1866 [6] White","Saturday 29 March 2025

John Keble, Priest, 1866 [6] White
Saturday after Third Sunday of Lent (Violet)
Week of Lent 3
Year C/1

DAILY EUCHARIST
Hosea 5:13 - 6:6
Psalm 51:1-2, 17-20
Luke 18:9-14

DAILY PRAYER: Returning to God 
Jeremiah 13:1-11
Romans 6:12-23
John 8:47-59

COLLECT (Lent 3)
Merciful Father,
we have no power in ourselves to help ourselves: 
when we are discouraged by our weakness, 
give us strength to follow Christ, our pattern and our hope; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-03-30,Fourth Sunday of Lent [1] Violet or Lenten Array (Mothering Sunday),"Sunday 30 March 2025

Fourth Sunday of Lent [1] Violet or Lenten Array
Week of Lent 4
Year C/1

DAILY EUCHARIST
Joshua 5:9-12
Psalm 32
2 Corinthians 5:16-21
Luke 15:1-3, 11b-32

DAILY PRAYER: Returning to God 
Micah 7:1-7, (8-20)
James 5:1-12, (13-20)
John 3:14-21

ALTERNATIVE PSALMS
Morning: Psalm 31:1-8, (9-16)
Evening: Psalms 13 and 14

COLLECT (Lent 4)
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

---

Mothering Sunday
Week of Lent 4
Year C/1

Exodus 2:1-10 or 1 Samuel 1:20-28
Psalm 34 or Psalm 127:1-4
2 Corinthians 1:3-7 or Colossians 3:12-17
Luke 2:33-35 or John 19:25-27",
Monday,2025-03-31,Monday after Fourth Sunday of Lent,"Monday 31 March 2025

Monday after Fourth Sunday of Lent (Violet)
Week of Lent 4
Year C/1

DAILY EUCHARIST
Isaiah 65:17-21
Psalm 30
John 4:43-54

DAILY PRAYER: Returning to God 
Jeremaih 14:1-9, 17-22
Romans 7:1-12
John 6:1-15

COLLECT (Lent 4)
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-04-01,"Gilbert of Caithness, Bishop, 1245 [6] White","Tuesday 1 April 2025

Gilbert of Caithness, Bishop, 1245 [6] White
Tuesday after Fourth Sunday of Lent (Violet)
Week of Lent 4
Year C/1

DAILY EUCHARIST
Ezekiel 47:1-9, 12
Psalm 46
John 5:1-18

DAILY PRAYER: Returning to God 
Jeremiah 16:10-21
Romans 7:13-25
John 6:16-27

COLLECT (Lent 4)
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-04-02,Wednesday after Fourth Sunday of Lent,"Wednesday 2 April 2025

Wednesday after Fourth Sunday of Lent (Violet)
Week of Lent 4
Year C/1

DAILY EUCHARIST
Isaiah 49:8-15
Psalm 145:8-15
John 5:19-30

DAILY PRAYER: Returning to God 
Jeremiah 17:19 - 18:12
Romans 8:1-11
John 6:27-40

COLLECT (Lent 4)
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-04-03,Thursday after Fourth Sunday of Lent,"Thursday 3 April 2025

Thursday after Fourth Sunday of Lent (Violet)
Week of Lent 4
Year C/1

DAILY EUCHARIST
Exodus 32:7-14
Psalm 103:1-12
John 5:31-47

DAILY PRAYER: Returning to God 
Jeremiah 22:13-23
Romans 8:12-27
John 6:41-51

COLLECT (Lent 4)
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-04-04,Friday after Fourth Sunday of Lent,"Friday 4 April 2025

Friday after Fourth Sunday of Lent (Violet)
Week of Lent 4
Year C/1

DAILY EUCHARIST
Wisdom of Solomon 2:1a, 12-22
Psalm 34:15-22
John 7:1-2, 10, 25-30

DAILY PRAYER: Returning to God 
Jeremiah 23:1-8
Romans 8:28-39
John 6:52-59

COLLECT (Lent 4)
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-04-05,Saturday after Fourth Sunday of Lent,"Saturday 5 April 2025

Saturday after Fourth Sunday of Lent (Violet)
Week of Lent 4
Year C/1

DAILY EUCHARIST
Jeremiah 11:18-20
Psalm 7:1-2, 9-12
John 7:40-53

DAILY PRAYER: Returning to God 
Jeremiah 23:9-32
Romans 9:1-18
John 6:60-71

COLLECT (Lent 4)
Almighty God, 
grant that we, who are weighed down by our sins, 
may be relieved and encouraged by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-04-06,Fifth Sunday of Lent (Passion Sunday: The beginning of Passiontide) [1] Violet or Lenten Array,"Fifth Sunday of Lent (Passion Sunday: The beginning of Passiontide) [1] Violet or Lenten Array
Week of Lent 5
Year C/1

EUCHARIST
Isaiah 43:16-21
Psalm 126
Philippians 3:4b-14
John 12:1-8

DAILY PRAYER: The Suffering Christ 
Lamentations 3:19-33
Hebrews 12:18-29
Matthew 20:17-34

ALTERNATIVE PSALMS
Morning: Psalm 30
Evening: Psalm 34

COLLECT (Lent 5)
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.",
Monday,2025-04-07,Monday after Fifth Sunday of Lent,"Monday 7 April 2025

Monday after Fifth Sunday of Lent (Violet)
Week of Lent 5
Year C/1

DAILY EUCHARIST
Susanna 1:1-9, 15-17, 19-30, 33-62 or Susanna 1:41c-62
Psalm 23
John 8:1-11

DAILY PRAYER: The Suffering Christ 
Jeremiah 24:1-10
Romans 9:19-33
John 9:1-17

COLLECT (Lent 5)
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.",
Tuesday,2025-04-08,Tuesday after Fifth Sunday of Lent,"Tueday 8 April 2025

Tuesday after Fifth Sunday of Lent (Violet)
Week of Lent 5
Year C/1

DAILY EUCHARIST
Numbers 21:4-9
Psalm 102:1-2, 15-22
John 8:21-30

DAILY PRAYER: The Suffering Christ 
Jeremiah 25:8-17
Romans 10:1-13
John 9:18-41

COLLECT (Lent 5)
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.",
Wednesday,2025-04-09,"Dietrich Bonhoeffer, Theologian and Martyr, 1945 [6] Red","Wednesday 9 April 2025

Dietrich Bonhoeffer, Theologian and Martyr, 1945 [6] Red
Wednesday after Fifth Sunday of Lent (Violet)
Week of Lent 5
Year C/1

DAILY EUCHARIST
Daniel 3:13-28
Psalm 24:1-6
John 8:31-47

DAILY PRAYER: The Suffering Christ 
Jeremiah 25:30-38
Romans 10:14-21
John 10:1-18

COLLECT (Lent 5)
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.",
Thursday,2025-04-10,"William Law, Priest, 1761 [6] White","Thursday 10 April 2025

William Law, Priest, 1761 [6] White
Thursday after Fifth Sunday of Lent (Violet)
Week of Lent 5
Year C/1

DAILY EUCHARIST
Genesis 17:3-9
Psalm 105:1-9
John 8:51-59

DAILY PRAYER: The Suffering Christ 
Jeremiah 26:1-16
Romans 11:1-12
John 10:19-42

COLLECT (Lent 5)
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.",
Friday,2025-04-11,"George Augustus Selwyn, Bishop and Missionary, 1878 [6] White","Friday 11 April 2025

George Augustus Selwyn, Bishop and Missionary, 1878 [6] White
Friday after Fifth Sunday of Lent (Violet)
Week of Lent 5
Year C/1

DAILY EUCHARIST
Jeremiah 20:7-13
Psalm 18:1-7
John 10:31-42

DAILY PRAYER: The Suffering Christ 
Jeremiah 29:1, 4-13
Romans 11:13-24
John 11:1-27 or John 12:1-10

COLLECT (Lent 5)
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.",
